HowOldAreYou,WhatIsYourSex,HowTallAreYouWithoutShoesInMeters,HowMuchDoYouWeighWithoutShoesInKG,weight,BMI,Sex,Age
7.0,2.0,1.7,68.04,1.8559,23.543252595155714,Male,18
1.0,1.0,1.63,79.38,1.3264,29.876924235010726,Female,12
6.0,1.0,1.73,59.42,1.3507,19.85365364696448,Female,17
6.0,1.0,1.78,65.77,1.5899,20.75811134957707,Female,17
6.0,1.0,1.6,56.7,1.5899,22.148437499999996,Female,17
6.0,1.0,1.57,45.36,1.5899,18.402369264473204,Female,17
6.0,1.0,1.6,62.6,1.5899,24.453124999999996,Female,17
5.0,1.0,1.57,58.97,1.5899,23.92389143575804,Female,16
6.0,1.0,1.73,59.88,1.5899,20.007350730061145,Female,17
6.0,1.0,1.6,62.6,1.5899,24.453124999999996,Female,17
7.0,1.0,1.73,72.58,1.5899,24.25072671990377,Female,18
3.0,2.0,1.83,63.5,1.9541,18.961450028367523,Male,14
4.0,2.0,1.73,60.33,1.8873,20.15770657222092,Male,15
4.0,2.0,1.57,49.9,1.9541,20.24422897480628,Male,15
3.0,2.0,1.8,68.04,1.9541,21.0,Male,14
4.0,2.0,1.75,97.52,1.9541,31.843265306122447,Male,15
5.0,2.0,1.7,112.95,1.9541,39.083044982698965,Male,16
3.0,2.0,1.78,85.28,1.9541,26.915793460421664,Male,14
3.0,2.0,1.78,65.77,1.9541,20.75811134957707,Male,14
6.0,1.0,1.47,51.71,1.4373,23.929844046462126,Female,17
4.0,1.0,1.83,102.06,1.4373,30.475678581026603,Female,15
5.0,1.0,1.68,56.7,1.4373,20.08928571428572,Female,16
5.0,1.0,1.63,75.75,1.4373,28.510670330083933,Female,16
4.0,1.0,1.65,73.48,0.406,26.989898989898993,Female,15
4.0,1.0,1.55,68.04,1.4373,28.320499479708637,Female,15
5.0,1.0,1.57,49.44,1.4373,20.057608827944335,Female,16
5.0,1.0,1.57,76.66,1.4373,31.100653170514015,Female,16
5.0,1.0,1.68,71.67,1.4373,25.393282312925173,Female,16
5.0,1.0,1.65,61.69,1.3076,22.6593204775023,Female,16
4.0,2.0,1.8,73.94,1.8559,22.820987654320984,Male,15
4.0,2.0,1.8,72.58,1.8559,22.401234567901234,Male,15
5.0,2.0,1.8,72.58,1.7949,22.401234567901234,Male,16
5.0,1.0,1.68,52.16,1.4373,18.480725623582767,Female,16
6.0,1.0,1.65,59.42,1.4373,21.825528007346193,Female,17
7.0,1.0,1.73,79.38,0.8931,26.522770556984863,Female,18
7.0,1.0,1.7,55.34,1.1388,19.148788927335644,Female,18
7.0,1.0,1.83,113.4,1.1388,33.86186509002956,Female,18
6.0,1.0,1.57,45.36,1.5899,18.402369264473204,Female,17
4.0,1.0,1.65,77.11,1.4373,28.323232323232325,Female,15
7.0,2.0,1.88,69.85,1.9098,19.762901765504754,Male,18
7.0,2.0,1.75,70.31,1.9098,22.958367346938775,Male,18
7.0,2.0,1.9,74.84,1.7949,20.731301939058174,Male,18
7.0,2.0,1.8,72.58,1.9098,22.401234567901234,Male,18
6.0,1.0,1.68,61.24,1.1388,21.697845804988667,Female,17
6.0,1.0,1.6,56.7,1.1388,22.148437499999996,Female,17
7.0,1.0,1.68,53.07,1.1388,18.803146258503403,Female,18
6.0,1.0,1.88,58.97,1.1388,16.68458578542327,Female,17
6.0,1.0,1.68,61.24,1.1388,21.697845804988667,Female,17
7.0,1.0,1.68,86.64,1.1388,30.69727891156463,Female,18
7.0,1.0,1.68,58.97,1.1388,20.89356575963719,Female,18
7.0,1.0,1.73,68.04,1.1388,22.733803334558456,Female,18
6.0,2.0,1.68,70.31,1.9098,24.911422902494337,Male,17
6.0,2.0,1.7,73.48,1.9098,25.425605536332185,Male,17
7.0,2.0,1.85,97.52,1.9098,28.49379108838568,Male,18
6.0,1.0,1.68,63.5,1.1388,22.498582766439913,Female,17
6.0,2.0,1.9,92.99,2.055,25.759002770083104,Male,17
6.0,2.0,1.8,90.72,2.055,27.999999999999996,Male,17
4.0,2.0,1.6,60.33,1.7171,23.566406249999996,Male,15
5.0,2.0,1.83,72.58,1.9541,21.672788079667946,Male,16
4.0,2.0,1.78,63.96,1.9541,20.186845095316247,Male,15
5.0,2.0,1.7,84.37,1.8559,29.193771626297583,Male,16
6.0,2.0,1.75,99.79,0.4294,32.58448979591837,Male,17
5.0,2.0,1.8,68.04,1.8559,21.0,Male,16
6.0,2.0,1.78,65.77,2.055,20.75811134957707,Male,17
7.0,2.0,1.68,88.45,2.055,31.338577097505674,Male,18
5.0,1.0,1.57,49.44,1.4373,20.057608827944335,Female,16
4.0,1.0,1.65,54.43,1.4024,19.99265381083563,Female,15
4.0,1.0,1.6,46.27,1.4024,18.074218749999996,Female,15
4.0,1.0,1.68,63.96,1.4024,22.661564625850342,Female,15
4.0,1.0,1.63,50.35,1.4024,18.95065678045843,Female,15
3.0,1.0,1.63,69.85,1.4024,26.290037261470133,Female,14
3.0,1.0,1.57,56.7,1.4024,23.002961580591506,Female,14
3.0,1.0,1.68,54.43,1.4024,19.285005668934243,Female,14
4.0,1.0,1.6,61.24,1.4024,23.921874999999996,Female,15
3.0,1.0,1.6,65.77,1.4024,25.691406249999993,Female,14
3.0,1.0,1.68,54.43,1.4024,19.285005668934243,Female,14
4.0,2.0,1.7,55.79,1.9541,19.304498269896197,Male,15
4.0,2.0,1.85,70.31,1.9541,20.543462381300216,Male,15
7.0,1.0,1.57,55.34,0.2747,22.45121505943446,Female,18
6.0,1.0,1.65,61.24,0.2747,22.494031221303953,Female,17
6.0,2.0,1.88,72.58,0.2549,20.53531009506564,Male,17
6.0,1.0,1.7,95.26,0.2747,32.96193771626298,Female,17
7.0,1.0,1.5,56.7,0.2883,25.200000000000003,Female,18
7.0,1.0,1.55,66.68,0.2747,27.75442247658689,Female,18
7.0,1.0,1.63,60.78,0.2747,22.87628439158418,Female,18
6.0,1.0,1.6,63.5,0.2747,24.804687499999996,Female,17
7.0,1.0,1.5,48.99,0.2747,21.773333333333333,Female,18
7.0,1.0,1.68,85.73,0.2747,30.374858276643998,Female,18
7.0,2.0,1.83,74.84,0.2549,22.347636537370477,Male,18
7.0,1.0,1.55,56.7,0.2747,23.600416233090527,Female,18
6.0,1.0,1.63,63.5,0.2747,23.90003387406376,Female,17
7.0,2.0,1.85,70.31,0.0644,20.543462381300216,Male,18
6.0,1.0,1.6,81.65,0.2747,31.894531249999996,Female,17
7.0,1.0,1.55,63.5,0.2747,26.430801248699268,Female,18
7.0,1.0,1.7,68.04,0.2747,23.543252595155714,Female,18
7.0,1.0,1.6,63.96,0.2747,24.984374999999996,Female,18
6.0,1.0,1.68,104.33,0.2747,36.96499433106577,Female,17
6.0,1.0,1.68,60.33,0.2747,21.37542517006803,Female,17
6.0,1.0,1.7,61.24,0.2747,21.190311418685123,Female,17
6.0,1.0,1.68,70.31,0.2747,24.911422902494337,Female,17
5.0,1.0,1.35,56.7,0.4168,31.111111111111107,Female,16
4.0,1.0,1.63,61.24,0.4168,23.049418495238815,Female,15
5.0,2.0,1.68,58.97,0.6713,20.89356575963719,Male,16
6.0,1.0,1.52,79.83,0.2734,34.55245844875346,Female,17
6.0,1.0,1.55,54.43,0.2734,22.655567117585846,Female,17
5.0,2.0,1.68,59.88,0.6713,21.215986394557827,Male,16
6.0,2.0,1.78,68.04,0.4294,21.474561292766065,Male,17
5.0,2.0,1.68,72.58,0.4294,25.71570294784581,Male,16
5.0,2.0,1.68,55.34,0.4294,19.60742630385488,Male,16
6.0,2.0,1.73,61.24,0.6713,20.461759497477363,Male,17
5.0,2.0,1.68,88.45,0.4294,31.338577097505674,Male,16
4.0,1.0,1.68,77.57,0.4168,27.483701814058957,Female,15
4.0,1.0,1.63,49.44,0.4439,18.608152358011218,Female,15
4.0,2.0,1.63,58.97,0.4294,22.19503933155181,Male,15
5.0,2.0,1.78,68.04,0.4294,21.474561292766065,Male,16
4.0,2.0,1.65,53.98,0.4294,19.82736455463728,Male,15
5.0,2.0,1.73,71.67,0.4294,23.94667379464733,Male,16
4.0,2.0,1.83,103.42,0.4294,30.88178207769715,Male,15
5.0,1.0,1.63,64.41,0.1254,24.242538296510972,Female,16
5.0,1.0,1.65,52.62,0.4168,19.327823691460058,Female,16
4.0,1.0,1.7,56.7,0.4032,19.61937716262976,Female,15
3.0,1.0,1.6,52.16,0.4032,20.374999999999996,Female,14
4.0,2.0,1.6,52.16,0.9658,20.374999999999996,Male,15
3.0,1.0,1.68,55.79,0.4032,19.766865079365083,Female,14
4.0,1.0,1.65,119.75,0.4032,43.98530762167126,Female,15
2.0,2.0,1.7,61.24,0.9658,21.190311418685123,Male,13
3.0,1.0,1.63,56.7,0.5169,21.340660167864808,Female,14
4.0,2.0,1.63,53.98,0.9658,20.316910685385224,Male,15
4.0,2.0,1.85,72.58,0.9658,21.20672023374726,Male,15
4.0,1.0,1.57,46.72,0.4032,18.954115785630247,Female,15
